id,brand,name,current_price,original_price,discount,image_url,local_image,product_url,category,scraped_at,updated_at
prod_1767778062_6404,Burton,Men's Burton Custom X Snowboard + X EST Snowboard Bindings Package,$750.00,$1331.91,-43%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle71.jpg,Burton_Men's_Burton_Custom_X_Snowboar_8062.jpg,https://snowboards.com/product/equipment-snowboards/52544/burton-custom-x-snowboard-x-est-snowboard-bindings-package,男子雪板,2026-01-07T09:27:42.767019,2026-01-07 09:27:42
prod_1767778062_6852,Burton,Burton Unisex Family Tree Hometown Hero Split Board,$750.00,$999.95,-24%,https://snowboards.com/files/store/items/lg/2/2/22240103000_1.jpg,Burton_Burton_Unisex_Family_Tree_Home_8062.jpg,https://snowboards.com/product/equipment-snowboards/49656/burton-unisex-family-tree-hometown-hero-split-board,雪板,2026-01-07T09:27:42.787696,2026-01-07 09:27:42
prod_1767778062_6966,Burton,Men's Burton Counterbalance Snowboard + Genesis Re:Flex Snowboard Bindings Package,$750.00,$917.91,-18%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle72.jpg,Burton_Men's_Burton_Counterbalance_Sn_8062.jpg,https://snowboards.com/product/equipment-snowboards/52545/burton-counterbalance-snowboard-genesis-re-flex-snowboard-bindings-package,男子雪板,2026-01-07T09:27:42.807785,2026-01-07 09:27:42
prod_1767778062_5886,Burton,Burton Men's Custom X Snowboard,$750.00,$899.95,-16%,https://snowboards.com/files/store/items/lg/f/w/fw26-custom-x.jpg,Burton_Burton_Men's_Custom_X_Snowboar_8062.jpg,https://snowboards.com/product/equipment-snowboards/51142/burton-mens-custom-x-snowboard,男子雪板,2026-01-07T09:27:42.828510,2026-01-07 09:27:42
prod_1767778062_3567,Lib Tech,Lib Tech Men's Golden Orca Hybrid C2X Snowboard,$750.00,$849.99,-11%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-lib-trice-golden-orca.jpg,Lib Tech_Lib_Tech_Men's_Golden_Orca_Hyb_8062.jpg,https://snowboards.com/product/equipment-snowboards/51408/lib-tech-lib-tech-mens-golden-orca-hybrid-c2x-snowboard,男子雪板,2026-01-07T09:27:42.847842,2026-01-07 09:27:42
prod_1767778062_1996,Burton,Women's Burton Yeasayer Snowboard + Burton Lexa Snowboard Bindings Package,$750.00,$829.90,-9%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle76.jpg,Burton_Women's_Burton_Yeasayer_Snowbo_8062.jpg,https://snowboards.com/product/equipment-snowboards/52549/burton-womens-burton-yeasayer-snowboard-burton-lexa-snowboard-bindings-package,男子雪板,2026-01-07T09:27:42.869413,2026-01-07 09:27:42
prod_1767778062_7423,Capita,Capita Men's Super Defenders of Awesome D.O.A. Snowboard,$750.00,$799.95,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitasuperd.o.a.snowboard2026-men_s.jpg,Capita_Capita_Men's_Super_Defenders_o_8062.jpg,https://snowboards.com/product/equipment-snowboards/51055/capita-mens-super-defenders-of-awesome-doa-snowboard,男子雪板,2026-01-07T09:27:42.889105,2026-01-07 09:27:42
prod_1767778062_8524,Burton,Men's Burton Process Snowboard + Mission Re:Flex Bindings Package,$750.00,$799.90,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle75.jpg,Burton_Men's_Burton_Process_Snowboard_8062.jpg,https://snowboards.com/product/equipment-snowboards/52548/burton-mens-burton-process-snowboard-mission-re-flex-bindings-package,男子雪板,2026-01-07T09:27:42.909296,2026-01-07 09:27:42
prod_1767778062_8632,Burton,Women's Burton Rewind Snowboard + Burton Mission Re:Flex Bindings Package,$750.00,$779.90,-3%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle77.jpg,Burton_Women's_Burton_Rewind_Snowboar_8062.jpg,https://snowboards.com/product/equipment-snowboards/52550/burton-womens-burton-rewind-snowboard-burton-mission-re-flex-bindings-package,男子雪板,2026-01-07T09:27:42.927704,2026-01-07 09:27:42
prod_1767778062_8387,Lib Tech,Lib Tech Men's Son of Birdman Snowboard,$749.99,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw25-lib-25sn032-son-of-birdman.jpg,Lib Tech_Lib_Tech_Men's_Son_of_Birdman__8062.jpg,https://snowboards.com/product/equipment-snowboards/50711/lib-tech-lib-tech-mens-son-of-birdman-snowboard,男子雪板,2026-01-07T09:27:42.947252,2026-01-07 09:27:42
